OrderID,City,ShippingMethod
1.00,Vancouver,Standard
2.00,Los Angeles,Expedited
3.00,Burnaby,Standard
4.00,Vancouver,Standard
5.00,Los Angeles,Standard
6.00,Surrey,Standard
7.00,Langley,Standard
8.00,Burnaby,Standard
9.00,Burnaby,Standard
10.00,Langley,Nextday
11.00,New York,Standard
12.00,New York,Standard
13.00,Burnaby,Standard
14.00,Portland,Standard
15.00,Surrey,Standard
16.00,Vancouver,Nextday
17.00,Burnaby,Standard
18.00,Surrey,Standard
19.00,Burnaby,Standard
20.00,Langley,Standard
21.00,Portland,Standard
22.00,Surrey,Standard
23.00,Burnaby,Standard
24.00,Burnaby,Expedited
25.00,Vancouver,Expedited
26.00,Langley,Standard
27.00,Vancouver,Standard
28.00,Vancouver,Standard
29.00,Langley,Standard
30.00,Vancouver,Standard
31.00,Surrey,Standard
32.00,Portland,Standard
33.00,Vancouver,Nextday
34.00,Surrey,Standard
35.00,Burnaby,Standard
36.00,Vancouver,Standard
37.00,Surrey,Expedited
38.00,Surrey,Nextday
39.00,Seattle,Standard
40.00,Surrey,Standard
41.00,Vancouver,Standard
42.00,Langley,Nextday
43.00,Seattle,Standard
44.00,Los Angeles,Standard
45.00,Seattle,Standard
46.00,Vancouver,Standard
47.00,Los Angeles,Nextday
48.00,Surrey,Standard
49.00,Langley,
50.00,Burnaby,Standard
51.00,Vancouver,Standard
52.00,Vancouver,Standard
53.00,Kelowna,Standard
54.00,Kelowna,Standard
55.00,Seoul,Standard
56.00,Seoul,Nextday
57.00,Vancouver,Standard
58.00,Burnaby,Standard
59.00,Burnaby,Standard
60.00,Surrey,Standard
61.00,Burnaby,
62.00,Surrey,Standard
63.00,Seoul,Standard
64.00,Burnaby,Standard
65.00,Vancouver,Standard
66.00,Burnaby,Expedited
67.00,Tokyo,Standard
68.00,Vancouver,Standard
69.00,Surrey,Expedited
70.00,Vancouver,Expedited
71.00,Tokyo,Nextday
72.00,Burnaby,Standard
73.00,Surrey,Standard
74.00,Vancouver,Standard
75.00,Tokyo,Expedited
76.00,Burnaby,Expedited
77.00,San Diego,Standard
78.00,Vancouver,Standard
79.00,Surrey,Standard
80.00,Vancouver,Standard
81.00,Surrey,Standard
82.00,Burnaby,Standard
83.00,San Diego,Standard
84.00,Vancouver,Standard
85.00,Burnaby,Expedited
86.00,Burnaby,Standard
87.00,Burnaby,Standard
88.00,Burnaby,Standard
89.00,Surrey,Standard
90.00,Burnaby,Standard
91.00,Surrey,Standard
92.00,Coquitlam,Standard
93.00,Vancouver,Standard
94.00,Burnaby,Standard
95.00,Burnaby,Expedited
96.00,Surrey,Standard
97.00,Burnaby,Nextday
98.00,Vancouver,Nextday
99.00,Coquitlam,Nextday
100.00,Surrey,Standard
101.00,Langley,Expedited
102.00,Langley,Standard
103.00,Langley,Standard
104.00,Los Angeles,Expedited
105.00,Vancouver,Standard
106.00,Surrey,Nextday
107.00,Vancouver,Standard
108.00,Los Angeles,Standard
109.00,Surrey,Standard
110.00,Vancouver,Standard
111.00,New York,Standard
112.00,Surrey,Nextday
113.00,Vancouver,Standard
114.00,New York,Standard
115.00,Portland,Standard
116.00,Vancouver,Standard
117.00,Vancouver,Standard
118.00,Portland,Standard
119.00,Surrey,Standard
120.00,Portland,Standard
121.00,Burnaby,Nextday
122.00,Vancouver,Nextday
123.00,Seattle,Nextday
124.00,Seattle,Standard
125.00,Burnaby,Standard
126.00,Burnaby,Standard
127.00,Vancouver,Standard
128.00,Burnaby,Standard
129.00,Surrey,Standard
130.00,Los Angeles,
131.00,Surrey,Standard
132.00,Surrey,Standard
133.00,Vancouver,Standard
134.00,Seattle,Standard
135.00,Surrey,Expedited
136.00,Vancouver,Nextday
137.00,Surrey,Standard
138.00,Surrey,Nextday
139.00,Surrey,Standard
140.00,Surrey,Standard
141.00,Surrey,Standard
142.00,Kelowna,Standard
143.00,Vancouver,Standard
144.00,Surrey,Standard
145.00,Vancouver,Standard
146.00,Surrey,Standard
147.00,Burnaby,Standard
148.00,Surrey,Standard
149.00,Kelowna,Standard
150.00,Burnaby,Standard
151.00,Surrey,Standard
152.00,Seoul,Expedited
153.00,Vancouver,Expedited
154.00,Seoul,Standard
155.00,Burnaby,Standard
156.00,Burnaby,Standard
157.00,Burnaby,Expedited
158.00,Vancouver,Nextday
159.00,Vancouver,Standard
160.00,Tokyo,Standard
161.00,Vancouver,Standard
162.00,New York,
163.00,Vancouver,Standard
164.00,Vancouver,Nextday
165.00,Vancouver,Standard
166.00,Surrey,Standard
167.00,Vancouver,Expedited
168.00,Tokyo,Standard
169.00,San Diego,Standard
170.00,Vancouver,Standard
171.00,Burnaby,Standard
172.00,Vancouver,Standard
173.00,Vancouver,Standard
174.00,Burnaby,Standard
175.00,Burnaby,Standard
176.00,Surrey,Standard
177.00,Vancouver,Standard
178.00,Vancouver,Standard
179.00,Vancouver,Standard
180.00,San Diego,Standard
181.00,Burnaby,Standard
182.00,Vancouver,Standard
183.00,Burnaby,Standard
184.00,Vancouver,Standard
185.00,San Diego,Standard
186.00,Vancouver,Standard
187.00,Burnaby,Standard
188.00,Vancouver,Expedited
189.00,Burnaby,Standard
190.00,Surrey,Standard
191.00,Surrey,Expedited
192.00,Surrey,Nextday
193.00,Vancouver,Standard
194.00,San Diego,Standard
195.00,Coquitlam,Standard
196.00,Vancouver,Expedited
197.00,Burnaby,Standard
198.00,Surrey,Standard
199.00,Vancouver,
200.00,Burnaby,Standard
201.00,Vancouver,Standard
202.00,Langley,Expedited
203.00,Vancouver,Standard
204.00,Burnaby,Standard
205.00,Seattle,
206.00,Surrey,Standard
207.00,Vancouver,Standard
208.00,Langley,Standard
209.00,Burnaby,Standard
210.00,Vancouver,Standard
211.00,Langley,Standard
212.00,Surrey,Expedited
213.00,Burnaby,Standard
214.00,Langley,Standard
215.00,Burnaby,Expedited
216.00,Burnaby,Expedited
217.00,Langley,Expedited
218.00,Vancouver,Nextday
219.00,Los Angeles,Nextday
220.00,Vancouver,Standard
221.00,Los Angeles,Standard
222.00,Surrey,Standard
223.00,Surrey,Nextday
224.00,Los Angeles,Standard
225.00,Surrey,Standard
226.00,Surrey,Standard
227.00,Burnaby,Standard
228.00,Surrey,Expedited
229.00,Los Angeles,Standard
230.00,Burnaby,Expedited
231.00,Vancouver,Standard
232.00,New York,Standard
233.00,New York,Standard
234.00,Surrey,Standard
235.00,Vancouver,Standard
236.00,Burnaby,Standard
237.00,Burnaby,Standard
238.00,Surrey,Standard
239.00,New York,Standard
240.00,Surrey,Standard
241.00,Portland,
242.00,Surrey,Standard
243.00,New York,Nextday
244.00,Burnaby,Standard
245.00,Portland,Standard
246.00,Portland,Standard
247.00,Vancouver,Standard
248.00,Portland,Standard
249.00,Vancouver,Nextday
250.00,Coquitlam,Standard
251.00,San Diego,Standard
252.00,Vancouver,Standard
253.00,Vancouver,Standard
254.00,Coquitlam,Nextday
255.00,Coquitlam,Standard
256.00,Coquitlam,Standard
257.00,Burnaby,Standard
258.00,Vancouver,Standard
259.00,Vancouver,Standard
260.00,San Diego,Standard
261.00,Coquitlam,Nextday
262.00,Vancouver,Standard
263.00,Coquitlam,Standard
264.00,Vancouver,Standard
265.00,San Diego,Expedited
266.00,Burnaby,Standard
267.00,Burnaby,Standard
268.00,Burnaby,Standard
269.00,Vancouver,Standard
270.00,Coquitlam,Nextday
271.00,Coquitlam,Standard
272.00,Surrey,Standard
273.00,Vancouver,Standard
274.00,Vancouver,Standard
275.00,Burnaby,Standard
276.00,San Diego,Standard
277.00,Burnaby,Expedited
278.00,Burnaby,Standard
279.00,Coquitlam,Standard
280.00,Surrey,Standard
281.00,Vancouver,Standard
282.00,Kelowna,
283.00,Vancouver,Nextday
284.00,Vancouver,Standard
285.00,Vancouver,Expedited
286.00,Coquitlam,Standard
287.00,Burnaby,Standard
288.00,Burnaby,Standard
289.00,Burnaby,Standard
290.00,Seoul,
291.00,Surrey,Standard
292.00,Vancouver,Standard
293.00,Surrey,Standard
294.00,Surrey,Standard
295.00,Burnaby,Standard
296.00,Burnaby,Standard
297.00,Coquitlam,Standard
298.00,Surrey,Standard
299.00,Vancouver,Standard
300.00,Burnaby,Standard
301.00,Vancouver,Standard
302.00,Vancouver,Standard
303.00,Surrey,Standard
304.00,San Diego,Standard
305.00,Coquitlam,Standard
306.00,Vancouver,Standard
307.00,Burnaby,Standard
308.00,Vancouver,Standard
309.00,Burnaby,Standard
310.00,Burnaby,Standard
311.00,Coquitlam,Expedited
312.00,Surrey,Nextday
313.00,Coquitlam,Expedited
314.00,Surrey,Standard
315.00,Coquitlam,Standard
316.00,Coquitlam,Standard
317.00,Burnaby,Standard
318.00,Vancouver,Expedited
319.00,Surrey,Standard
320.00,Surrey,Standard
321.00,Vancouver,Expedited
322.00,Coquitlam,Standard
323.00,Burnaby,Standard
324.00,Vancouver,Standard
325.00,Vancouver,Expedited
326.00,Surrey,Standard
327.00,Burnaby,Nextday
328.00,Surrey,Nextday
329.00,Coquitlam,Standard
330.00,Burnaby,Standard
331.00,Surrey,Standard
332.00,Vancouver,Standard
333.00,Burnaby,Standard
334.00,Vancouver,Standard
335.00,San Diego,Standard
336.00,Surrey,Standard
337.00,Vancouver,Expedited
338.00,Vancouver,Standard
339.00,San Diego,Standard
340.00,Coquitlam,Standard
341.00,Vancouver,Expedited
342.00,Coquitlam,Standard
343.00,Burnaby,Standard
344.00,Coquitlam,Standard
345.00,Coquitlam,Standard
346.00,Burnaby,Standard
347.00,Surrey,Standard
348.00,Burnaby,Standard
349.00,Burnaby,Standard
350.00,Coquitlam,Standard
351.00,Vancouver,Standard
352.00,Coquitlam,Standard
353.00,Vancouver,Standard
354.00,Coquitlam,Standard
355.00,Surrey,Standard
356.00,Vancouver,Standard
357.00,Vancouver,Standard
358.00,Surrey,Nextday
359.00,Surrey,Standard
360.00,Coquitlam,Standard
361.00,Surrey,Standard
362.00,Vancouver,Expedited
363.00,Burnaby,Standard
364.00,Coquitlam,Standard
365.00,Burnaby,Standard
366.00,Surrey,Standard
367.00,Surrey,Standard
368.00,Surrey,Standard
369.00,Burnaby,Standard
370.00,Vancouver,Standard
371.00,Burnaby,Standard
372.00,Burnaby,Expedited
373.00,Surrey,Standard
374.00,Vancouver,Nextday
375.00,Surrey,Standard
376.00,Burnaby,Nextday
377.00,Surrey,Standard
378.00,Vancouver,Standard
379.00,Burnaby,Standard
380.00,Burnaby,Standard
381.00,Burnaby,Standard
382.00,Burnaby,Nextday
383.00,Coquitlam,Standard
384.00,Surrey,Standard
385.00,Coquitlam,Nextday
386.00,Surrey,Standard
387.00,Coquitlam,Standard
388.00,Burnaby,Standard
389.00,Burnaby,Standard
390.00,Vancouver,Standard
391.00,Coquitlam,Standard
392.00,Burnaby,Standard
393.00,Vancouver,Nextday
394.00,Vancouver,Standard
395.00,Surrey,Standard
396.00,Burnaby,Standard
397.00,Vancouver,Nextday
398.00,Burnaby,Nextday
399.00,Burnaby,Standard
400.00,Coquitlam,Standard
401.00,Burnaby,Standard
402.00,Vancouver,Standard
403.00,Burnaby,Standard
404.00,Vancouver,Standard
405.00,Coquitlam,Standard
406.00,Coquitlam,Standard
407.00,Surrey,Standard
408.00,Surrey,Standard
409.00,Coquitlam,Standard
410.00,Tokyo,Standard
411.00,Burnaby,Standard
412.00,Tokyo,Standard
413.00,Surrey,Standard
414.00,Vancouver,Standard
415.00,Surrey,Standard
416.00,Burnaby,Expedited
417.00,Vancouver,Standard
418.00,Tokyo,Standard
419.00,Vancouver,Standard
420.00,Surrey,Standard
421.00,Coquitlam,Standard
422.00,Burnaby,Standard
423.00,Surrey,Standard
424.00,Surrey,Standard
425.00,Vancouver,Standard
426.00,Surrey,Standard
427.00,Tokyo,Standard
428.00,Tokyo,Standard
429.00,Burnaby,Standard
430.00,Burnaby,Standard
431.00,Vancouver,Nextday
432.00,Burnaby,Nextday
433.00,Vancouver,Expedited
434.00,Vancouver,Standard
435.00,Vancouver,Standard
436.00,Coquitlam,Standard
437.00,Burnaby,Standard
438.00,Kelowna,Standard
439.00,Burnaby,Standard
440.00,Burnaby,Standard
441.00,Surrey,Standard
442.00,Kelowna,Standard
443.00,Vancouver,Standard
444.00,Kelowna,Standard
445.00,Burnaby,Standard
446.00,Coquitlam,Expedited
447.00,Kelowna,Standard
448.00,Vancouver,Standard
449.00,Vancouver,Expedited
450.00,Surrey,Standard
451.00,Vancouver,Standard
452.00,Surrey,Expedited
453.00,Surrey,Standard
454.00,Surrey,Standard
455.00,Vancouver,Standard
456.00,Surrey,Standard
457.00,Surrey,Standard
458.00,Kelowna,Standard
459.00,Coquitlam,Standard
460.00,Seattle,Nextday
461.00,Seattle,Standard
462.00,Vancouver,Nextday
463.00,Vancouver,Standard
464.00,Vancouver,Standard
465.00,Vancouver,Standard
466.00,Vancouver,Nextday
467.00,Vancouver,Standard
468.00,Burnaby,Standard
469.00,Vancouver,Standard
470.00,Surrey,Standard
471.00,Burnaby,Expedited
472.00,Surrey,Standard
473.00,Burnaby,Standard
474.00,Seattle,Standard
475.00,Vancouver,Standard
476.00,Coquitlam,Standard
477.00,Burnaby,Standard
478.00,Seattle,Standard
479.00,Vancouver,Standard
480.00,Burnaby,Standard
481.00,Seattle,Standard
482.00,Coquitlam,Standard
483.00,Surrey,Standard
484.00,Surrey,Standard
485.00,Surrey,Standard
486.00,Vancouver,Standard
487.00,Vancouver,Standard
488.00,Burnaby,Standard
489.00,Surrey,Standard
490.00,Vancouver,Expedited
491.00,Burnaby,Standard
492.00,Portland,Standard
493.00,Surrey,Standard
494.00,Burnaby,Standard
495.00,Surrey,Standard
496.00,Portland,Standard
497.00,Portland,Standard
498.00,Coquitlam,Standard
499.00,Vancouver,Standard
500.00,Burnaby,Nextday
501.00,Surrey,Standard
502.00,Burnaby,Standard
503.00,Burnaby,Standard
504.00,Portland,Standard
505.00,Portland,Standard
506.00,Burnaby,Standard
507.00,Coquitlam,Expedited
508.00,Burnaby,Standard
509.00,New York,Standard
510.00,New York,Standard
511.00,New York,Expedited
512.00,Coquitlam,Standard
513.00,New York,Expedited
514.00,Burnaby,Standard
515.00,New York,Standard
516.00,Vancouver,Standard
517.00,Vancouver,Nextday
518.00,Vancouver,Standard
519.00,Vancouver,Standard
520.00,Vancouver,Standard
521.00,Surrey,Standard
522.00,Vancouver,Standard
523.00,Vancouver,Standard
524.00,Surrey,Standard
525.00,Coquitlam,Standard
526.00,Vancouver,Standard
527.00,Burnaby,Standard
528.00,Los Angeles,Standard
529.00,Los Angeles,Standard
530.00,Vancouver,Standard
531.00,Vancouver,Standard
532.00,Vancouver,Standard
533.00,Burnaby,Standard
534.00,Surrey,Nextday
535.00,Vancouver,Standard
536.00,Burnaby,Standard
537.00,Surrey,Standard
538.00,Vancouver,Standard
539.00,Burnaby,Standard
540.00,Vancouver,Standard
541.00,Surrey,Standard
542.00,Los Angeles,Nextday
543.00,Coquitlam,Standard
544.00,Surrey,Standard
545.00,Surrey,Standard
546.00,Los Angeles,Nextday
547.00,Burnaby,Standard
548.00,Burnaby,Standard
549.00,Burnaby,Nextday
550.00,Burnaby,Standard
551.00,Surrey,Standard
552.00,Vancouver,Standard
553.00,Surrey,Standard
554.00,Surrey,Standard
555.00,Vancouver,Standard
556.00,Surrey,Nextday
557.00,Vancouver,Nextday
558.00,Surrey,Standard
559.00,Surrey,Expedited
560.00,Burnaby,Standard
561.00,Burnaby,Standard
562.00,Vancouver,Standard
563.00,Vancouver,Standard
564.00,Burnaby,Standard
565.00,Los Angeles,Standard
566.00,Surrey,Expedited
567.00,Coquitlam,Standard
568.00,Surrey,Standard
569.00,Burnaby,Expedited
570.00,Langley,Expedited
571.00,Burnaby,Standard
572.00,Vancouver,Standard
573.00,Burnaby,Standard
574.00,Surrey,Standard
575.00,Surrey,Standard
576.00,Vancouver,Standard
577.00,Surrey,Standard
578.00,Vancouver,Standard
579.00,Langley,Standard
580.00,Surrey,Standard
581.00,Langley,Standard
582.00,Vancouver,Standard
583.00,Vancouver,Standard
584.00,Coquitlam,Expedited
585.00,Burnaby,Standard
586.00,Vancouver,Standard
587.00,Vancouver,Standard
588.00,Vancouver,Standard
589.00,Vancouver,Standard
590.00,Burnaby,Standard
591.00,Surrey,Standard
592.00,Surrey,Standard
593.00,Vancouver,Standard
594.00,Burnaby,Standard
595.00,Burnaby,Standard
596.00,Surrey,Standard
597.00,Vancouver,Standard
598.00,Vancouver,Standard
599.00,Langley,Standard
600.00,Surrey,Nextday
601.00,Langley,Standard
602.00,Langley,Standard
603.00,Langley,Standard
604.00,Langley,Standard
605.00,Langley,Standard
606.00,Langley,Standard
607.00,Langley,Standard
608.00,Langley,Standard
609.00,Langley,Standard
610.00,Langley,Standard
611.00,Langley,Standard
612.00,Langley,Standard
613.00,Langley,Standard
614.00,Langley,Standard
615.00,Langley,Standard
616.00,Langley,Standard
617.00,Langley,Standard
618.00,Langley,Standard
619.00,Langley,Standard
620.00,Langley,Standard
621.00,Langley,Standard
622.00,Langley,Standard
623.00,Langley,Standard
624.00,Langley,Standard
625.00,Langley,Standard
626.00,Langley,Standard
627.00,Langley,Standard
628.00,Langley,Standard
629.00,Langley,Standard
630.00,Langley,Standard
631.00,Langley,Standard
632.00,Langley,Standard
633.00,Langley,Standard
634.00,Langley,Standard
635.00,Langley,Standard
636.00,Langley,Standard
637.00,Langley,Standard
638.00,Langley,Standard
639.00,Langley,Standard
640.00,Langley,Standard
641.00,Langley,Standard
642.00,Langley,Standard
643.00,Langley,Standard
644.00,Langley,Standard
645.00,Langley,Standard
646.00,Langley,Standard
647.00,Langley,Standard
648.00,Langley,Standard
649.00,Langley,Standard
650.00,Langley,Standard
651.00,Langley,Standard
652.00,Langley,Standard
653.00,Langley,Standard
654.00,Langley,Standard
